BatchID,ProductionLine,InspectorName
B-1001,Line A,Michael Jones
B-1002,Line A,Emily Rodriguez
B-1003,Line A,David Lee
B-1004,Line C,Emily Rodriguez
B-1005,Line C,Sarah Chen
B-1006,Line B,Emily Rodriguez
B-1007,Line C,Sarah Chen
B-1008,Line A,Sarah Chen
B-1009,Line A,David Lee
B-1010,Line A,Raj Patel
B-1011,Line A,Emily Rodriguez
B-1012,Line A,Sarah Chen
B-1013,Line A,Michael Jones
B-1014,Line C,Raj Patel
B-1015,Line B,Sarah Chen
B-1016,Line A,Michael Jones
B-1017,Line B,Emily Rodriguez
B-1018,Line A,Michael Jones
B-1019,Line C,David Lee
B-1020,Line B,Raj Patel
B-1021,Line B,Sarah Chen
B-1022,Line B,Raj Patel
B-1023,Line B,Raj Patel
B-1024,Line B,Michael Jones
B-1025,Line C,Emily Rodriguez
B-1026,Line B,David Lee
B-1027,Line C,David Lee
B-1028,Line C,Emily Rodriguez
B-1029,Line C,Raj Patel
B-1030,Line C,David Lee
