ticket_id,submission_date,resolution_date,category,assigned_analyst,description,priority
TICKET-1000,2025-06-27 22:36:15.973930,2025-06-28 03:46:40.643597,Other,Toni Wiley,Dream part subject until full. Brother century suddenly above. Six eight benefit animal move best.,High
TICKET-1001,2025-09-01 19:27:59.002736,2025-09-03 07:18:05.731716,Software,Tanya Jones,Application X is crashing every time I open it. Lead how phone also score player later blue.,Medium
TICKET-1002,2025-09-04 09:32:02.540499,2025-09-05 23:50:36.514904,Other,Sheila Ball,Black attack cold would page. Reality she war a chance. Physical hour Mr item red agreement for.,Medium
TICKET-1003,2025-07-28 17:47:33.955168,2025-07-29 01:38:19.258840,Hardware,Cynthia Rich,"My laptop's keyboard isn't working properly, some keys are stuck. Tree culture above effort more national whether.",High
TICKET-1004,2025-09-03 21:46:08.623803,2025-09-04 06:53:07.154457,Software,Janice Burns,Application X is crashing every time I open it. Order wrong fight foreign bad house pick.,High
TICKET-1005,2025-08-04 20:32:40.305658,2025-08-10 09:52:41.581470,Software,Sheila Ball,Application X is crashing every time I open it. Sport should network realize relate very voice.,Low
TICKET-1006,2025-08-22 10:38:15.678132,2025-08-23 14:11:49.477646,Access,Autumn Ryan,I'm locked out of my account and can't reset my password. If rather year suffer wrong.,Low
TICKET-1007,2025-07-05 07:43:27.971030,2025-07-09 20:26:19.498056,Software,Amanda White,Application X is crashing every time I open it. Here bill leg region training. Grow new may.,Low
TICKET-1008,2025-07-07 16:41:13.572214,2025-07-08 10:04:28.061319,Hardware,Amanda White,"My laptop's keyboard isn't working properly, some keys are stuck. Common maintain theory involve ok detail.",Medium
TICKET-1009,2025-09-10 14:49:32.772986,2025-09-11 19:58:37.053319,Software,Sheila Ball,Application X is crashing every time I open it. Responsibility again recently traditional word.,Medium
TICKET-1010,2025-08-27 13:20:01.825947,2025-09-02 16:28:31.353328,Software,Adam Stone,Application X is crashing every time I open it. Structure this woman born.,Low
TICKET-1011,2025-06-24 01:56:18.720420,2025-06-24 05:46:32.731443,Network,Natasha Harris,Can't connect to the Wi-Fi. It's showing 'No internet access'. Maintain without college strong few not week.,High
TICKET-1012,2025-06-28 09:51:47.052154,2025-06-29 02:58:41.188060,Network,Toni Wiley,Can't connect to the Wi-Fi. It's showing 'No internet access'. Official human task door century energy Mr.,Medium
TICKET-1013,2025-07-22 09:08:53.603308,2025-07-26 15:54:43.831940,Software,Amanda White,Application X is crashing every time I open it. Spring operation performance glass choice kind.,Low
TICKET-1014,2025-07-09 22:32:58.087652,2025-07-10 01:11:31.801503,Software,Tanya Jones,Application X is crashing every time I open it. Summer yard maintain fire ask eight.,High
TICKET-1015,2025-07-23 22:34:10.788008,2025-07-24 01:20:01.498702,Software,Marvin West,Application X is crashing every time I open it. Least check between event. Can brother two form.,High
TICKET-1016,2025-08-06 11:52:05.195899,2025-08-11 08:18:52.857508,Software,Amanda White,Application X is crashing every time I open it. Resource in affect charge customer accept dream.,Low
TICKET-1017,2025-06-30 16:42:13.714736,2025-07-02 20:37:18.514894,Security,Toni Wiley,Thought national word picture each deep.,Low
TICKET-1018,2025-06-30 23:03:04.441404,2025-07-04 11:48:25.095189,Network,Cynthia Rich,Can't connect to the Wi-Fi. It's showing 'No internet access'. Card series research else cup though artist.,Low
TICKET-1019,2025-07-03 07:27:15.088527,2025-07-04 23:58:38.615326,Hardware,Cynthia Rich,"My laptop's keyboard isn't working properly, some keys are stuck. Young up grow after offer east region would.",Medium
TICKET-1020,2025-06-23 22:49:37.645901,2025-06-25 11:06:40.203209,Software,Tanya Jones,Application X is crashing every time I open it. Nice then management.,Medium
TICKET-1021,2025-07-08 11:34:56.771616,2025-07-10 09:25:12.405241,Software,Toni Wiley,Application X is crashing every time I open it. Water act involve follow hot.,Medium
TICKET-1022,2025-06-22 23:29:45.598373,2025-06-23 16:34:14.252886,Software,Adam Stone,Application X is crashing every time I open it. Another such apply table let.,Medium
TICKET-1023,2025-08-29 12:27:52.714228,2025-08-31 04:23:44.735158,Software,Janice Burns,Application X is crashing every time I open it. Senior per draw day mention sea quickly.,Medium
TICKET-1024,2025-07-12 03:37:37.169801,2025-07-16 09:42:35.062502,Network,Cynthia Rich,Can't connect to the Wi-Fi. It's showing 'No internet access'. Race Republican expect east might collection.,Low
TICKET-1025,2025-07-13 05:42:49.821632,2025-07-14 19:35:58.919440,Software,Tanya Jones,Application X is crashing every time I open it. Total maintain service writer.,Medium
TICKET-1026,2025-06-24 00:26:51.294033,2025-06-24 12:14:51.991110,Network,Janice Burns,Can't connect to the Wi-Fi. It's showing 'No internet access'. Individual herself decide generation.,High
TICKET-1027,2025-07-03 19:29:05.365425,2025-07-05 17:15:13.943082,Billing,Tanya Jones,Yourself floor foot character choose. Brother prepare but film key name.,Medium
TICKET-1028,2025-09-15 13:02:57.156414,2025-09-17 07:57:17.751897,Other,Toni Wiley,Successful radio play network yet. Fill director direction ready white.,Low
TICKET-1029,2025-08-27 21:57:13.064988,2025-08-29 06:38:56.902987,Software,Sheila Ball,Application X is crashing every time I open it. Southern beat general first much hotel agency.,Medium
TICKET-1030,2025-08-30 20:17:04.470282,2025-09-06 02:38:11.094292,Network,Sheila Ball,Can't connect to the Wi-Fi. It's showing 'No internet access'. Cup government by life reduce each customer.,Low
TICKET-1031,2025-08-24 23:58:57.561955,2025-08-25 07:35:19.068247,Software,Tanya Jones,Application X is crashing every time I open it. Market growth film.,High
